rubric,candidate,n,mae,exact,kappa_quad
AS,"min(Q,L,M)",1342,0.707,0.472,0.431
AT,"min(Q,L)",1506,0.475,0.554,0.67
CEc,"min(Q,L,M)",1429,0.528,0.523,0.612
CEe,Mistral (solo),1463,0.593,0.565,0.101
CL,"mean(Q,L,M)",1176,0.504,0.562,0.726
KNa,"min(Q,L,M)",1502,0.767,0.786,0.0
KNc,Llama (solo),1409,0.004,0.999,0.0
KNf,"min(Q,L)",1502,0.261,0.74,0.542
KNn,"min(Q,L,M)",1513,0.0,1.0,
KNs,Qwen (solo),1520,0.0,1.0,
MCt,"min(Q,L,M)",1494,0.327,0.674,0.525
MCu,"min(Q,L)",1466,0.229,0.785,0.711
MS,Qwen (solo),1518,0.0,1.0,
QLl,"median(Q,L,M)",507,0.414,0.613,0.516
QLq,"min(Q,L,M)",1461,0.196,0.807,0.627
SNs,"mean(Q,L,M)",1481,0.554,0.665,0.39
VO,"min(Q,L)",1494,0.345,0.661,0.551
